机构名称,机构地址,区县,机构电话,基本医保点,医保编码,新农合定点,邮政编码,
双榆树社区卫生服务中心,海淀区双榆树西里12号,海淀区,62564032,是,08151003,是,100086,
知春东里社区卫生服务站,海淀区知春东里9-110,海淀区,62621783,是,08162027,否,100086,
军休社区卫生服务站,志新西路15号,海淀区,62321533,是,08162034,否,100083,
东王庄社区卫生服务站,北京市海淀区学院路街道东王庄小区,海淀区,010-82370987,是,08162041,否,100083,
宝盛里社区卫生服务站,北京市海淀区东升镇马坊村宝盛里小区停车场西侧,海淀区,62900164,是,08162131,否,100192,
朱房前街社区卫生服务站,北京市海淀区清河朱房前街4号院,海淀区,62923885,是,08162130,否,100192,
朱房社区卫生服务站,清河621小区13-10-504,海淀区,62844156,是,08162073,否,100085,
龙岗社区卫生服务站,北京市海淀区清河龙岗路51号院旁,海淀区,62903187,是,08162071,否,100192,
万寿路社区卫生服务中心,北京市海淀区翠微中里13号,海淀区,68252828,是,08110016,是,100036,
羊坊店水利社区卫生服务中心,北京市海淀区玉渊潭南路19号（普惠北里）3栋一层,海淀区,88615648,否,,否,100036,
中兴社区卫生服务站,海淀区太平路44号,海淀区,68229822,是,08110036,否,100039,
机械科学研究院社区卫生服务站,北京市海淀区首体南路2号西区,海淀区,88301257,是,08141032,否,100044,
四街坊社区卫生服务站,北京市海淀区永定路52号一区,海淀区,68387954,是,08162018,否,100039,
复兴路社区卫生服务站,海淀区复兴路甲24号院,海淀区,68241256,是,08162015,否,100036,
黄亭子社区卫生服务站,北京市海淀区羊坊店路甲2号,海淀区,63953618,是,08162005,否,100038,
清河社区卫生服务中心,北京市海淀区安宁庄东路19号,海淀区,62913775,是,08110027,是,100085,
六街坊社区卫生服务站,北京市海淀区复兴路79号627楼,海淀区,88527648,是,08162019,否,100039,
八里庄社区卫生服务中心,北京市海淀区八里庄22号,海淀区,68457866,是,08110028,是,100142,
定慧寺社区卫生服务站,海淀区定慧北里27号楼5门102,海淀区,15311082771,是,08162004,否,100142,
甘家口社区卫生服务中心,北京市海淀区增光路甲57号,海淀区,68315627,是,08110026,是,100037,
北下关社区卫生服务中心,北京市海淀区交大东路3号,海淀区,62255940,是,08110029,是,100081,
北太平庄社区卫生服务中心,北京市海淀区文慧园6号楼,海淀区,62269365,是,08110018,是,100082,
动物园社区卫生服务站,北京市海淀区西外大街太平庄动物园家委会,海淀区,62179720,是,08162007,是,100081,
皂君庙社区卫生服务站,北京市海淀区学院南路皂君庙东里,海淀区,62117948,是,08162022,是,100081,
核二院社区卫生服务站,北京市海淀区西三环马神庙-1号,海淀区,88022587,是,08131009,否,100840,
海淀镇社区卫生服务中心,北京市海淀区西苑操场108号,海淀区,62878894,是,08120005,是,100091,
肖家河社区卫生服务站,北京市海淀区肖家河正黄旗1号,海淀区,62898391,是,08162050,否,100091,
常青园社区卫生服务站,北京市海淀区四季青镇东冉村常青园1区7号楼地下一层,海淀区,88497322,是,08162056,是,100195,
门头村社区卫生服务站,北京市海淀区门头馨村北一区215号,海淀区,62597034,是,08162054,是,100093,
西山社区卫生服务站,海淀区四季青西山嘉园,海淀区,62590460,是,08162061,是,100195,
曙光花园社区卫生服务站,北京市海淀区曙光花园望塔园综合楼1层,海淀区,88433007,是,08162059,是,100097,
烟树园社区卫生服务站,北京市海淀区曙光街道烟树园5B_1I,海淀区,88866156,是,08162084,是,100097,
八街坊社区卫生服务站,北京市海淀区金沟河路5号816楼前,海淀区,68764705,是,08162044,否,100039,
新材社区卫生服务站,北京市海淀区西三旗建材城西路39号,海淀区,82933900,是,08111024,否,100096,
国际关系学院社区卫生服务站,北京市海淀区坡上村12号,海淀区,62861418,是,08131007,否,100091,
北蜂窝社区卫生服务站,北京市海淀区羊坊店柳林馆南里14-4-2,海淀区,58883946,是,08162052,否,100036,
中央民族大学社区卫生服务中心,中关村南大街27号,海淀区,68932488,是,08111015,否,100081,
花园路社区卫生服务中心,北京市海淀区马甸月季园小区甲3号,海淀区,62355899,是,08110102,是,100191,
西三旗社区卫生服务中心,北京市海淀区宝盛里小区32号楼,海淀区,62901115,是,08110101,是,100192,
香山街道香山社区卫生服务站,北京市海淀区北辛村25号,海淀区,62591228,是,08162053,否,100093,
总参六干社区卫生服务站,海淀区复兴路26号,海淀区,010-66827756,是,08162128,否,100851,
韩家川社区卫生服务站,北京市5102信箱04号,海淀区,66328666,是,08130003,否,100094,
永泰社区卫生服务站,西三旗永泰小区51号楼底商,海淀区,62905410,是,08162014,否,100092,
西二旗社区卫生服务站,北京市海淀区西二旗铭科苑小区物业楼二层,海淀区,62925249,是,08162087,否,100085,
北京理工大学社区卫生服务中心,北京市海淀区中关村南大街5号,海淀区,68913923,是,08111006,否,100081,
双新园社区卫生服务站,北京市海淀区四季青镇双新村双拥路东侧,海淀区,62591236,是,08162116,是,100093,
颐阳山水区社区卫生服务站,北京市海淀区温泉镇杨家庄村南颐阳山水居二区,海淀区,18201002242,是,08162134,是,100095,
白水洼社区卫生服务站,北京市海淀区上庄镇白水洼村,海淀区,62475627,是,08162125,是,102205,
蓟门里社区卫生服务中心,北京市海淀区蓟门里小区,海淀区,82011138,是,08110031,是,100088,
航天工业社区卫生服务站,北京市海淀区阜成路八号,海淀区,01068370220,是,08131011,否,100830,
清上园社区卫生服务站,北京市海淀区清河三街52号,海淀区,62950026,是,08162072,否,100085,
北京大学医学部社区卫生服务中心,北京市海淀区学院路38号北京大学医学部内,海淀区,82802364,是,08111012,否,100191,
翠微西里社区卫生服务站,北京市海淀区万寿路翠微西里小区,海淀区,68259826,是,08162082,否,100036,
华清园社区卫生服务站,北京市海淀区东升园公寓10号楼南侧,海淀区,62566903,是,08162107,否,100190,
北京师范大学社区卫生服务中心,北京市海淀区新外大街19号,海淀区,58808227,是,08111019,否,100875,
科学园南里社区卫生服务站,科学园南里东街6-5,海淀区,64888626,是,08162017,否,100101,
水清木华社区卫生服务站,北京市海淀区北二街北一条3号院平房,海淀区,62618692,是,08162023,否,100190,
天香颐社区卫生服务站,北京市海淀区闵庄南路天香颐北里16号楼一层,海淀区,51611610,是,08162075,否,100195,
西六社区卫生服务站,北京市海淀区宏丰西路1号院北京西六建材有限责任公司院内,海淀区,52789316,是,08162099,否,100094,
铁路宿舍社区卫生服务站,北京市海淀区万寿路1号院,海淀区,51823917,是,08162088,否,100036,
钢研院社区卫生服务站,北京市海淀区高粱桥斜街13号院钢研社区卫生服务站,海淀区,62182687,是,08131006,否,100081,
电子六所社区卫生服务站,北京市海淀区学院路16号1号楼,海淀区,82306019,是,08162105,否,100083,
清华大学社区卫生服务中心,北京市海淀区清华大学,海淀区,62784635,是,08111003,否,100084,
体育大学社区卫生服务中心,海淀区信息路48号,海淀区,62989470,是,08111016,否,100084,
社会福利社区卫生服务中心,北京市海淀区清河三街52号,海淀区,62913558,否,,否,100085,
青龙桥社区卫生服务中心,北京市海淀区厢红旗东2号,海淀区,62881708,是,08110091,否,100091,
梅园社区卫生服务站,北京市海淀区马连洼菊园小区,海淀区,62962588,是,08162047,否,100091,
青年政治学院社区卫生服务站,海淀区西三环北路25号教辅楼一层,海淀区,88567701,是,08131001,否,100089,
中国气象局社区卫生服务站,海淀区中关村南大街46号,海淀区,68409120,是,08131021,否,100081,
铁道科研院社区卫生服务站,北京市海淀区西直门外大柳树路2号,海淀区,51849441,是,08131013,否,100081,
冶建院社区卫生服务站,北京海淀区西土城路31号院,海淀区,82227723,是,08141020,否,100088,
清毛社区卫生服务站,毛纺路16号,海淀区,62949160,是,08111022,否,100085,
展春园社区卫生服务站,北京市海淀区学院展春园小区29楼南侧平房,海淀区,62340121,是,08162011,否,100083,
