机构名称,机构地址,区县,机构电话,基本医保点,医保编码,新农合定点,邮政编码,
1201社区卫生服务站,北京市海淀区花园路5号院11号楼南侧,海淀区,62366255,是,08162083,否,100088,
北京科技大学社区卫生服务中心,北京市海淀区学院路30号,海淀区,62332909,是,08111008,否,100083,
塔院社区卫生服务站,塔院小区朗秋园3号楼1门103,海淀区,82024075,是,08162048,否,100083,
玉海园社区卫生服务站,海淀区玉泉路玉海园二里9号商用楼2层,海淀区,88263204,是,08162024,否,100039,
沙窝社区卫生服务站,海淀区西翠路5号今日家园5号楼B02-03,海淀区,88286835,是,08162003,否,100039,
建西苑社区卫生服务站,八角东街12号锅炉房东侧,海淀区,58973875,是,08162106,否,100043,
紫竹院社区卫生服务中心,北京市海淀区中关村大街29号,海淀区,62638813,是,08110014,否,100080,
城建四社区卫生服务站,北京市海淀区王庄路27号院,海淀区,82380825,是,08111018,否,100083,
中国矿业大学社区卫生服务站,海淀区学院路丁11号,海淀区,62331210,是,08141002,否,100083,
北京外国语大学社区卫生服务中心,北京市海淀区西三环北路2号,海淀区,88816878,是,08111009,否,100089,
前沙涧社区卫生服务站,北京市海淀区苏家坨镇前沙涧主街7号院南,海淀区,62485075,是,08162065,否,100194,
苏家坨镇后沙涧社区卫生服务站,北京市海淀区苏家坨镇后沙涧村,海淀区,62486983,是,08162065,否,100194,
芙蓉里社区卫生服务站,海淀区芙蓉北路芙蓉里小区7号楼一层,海淀区,82626340,是,08162008,否,100080,
小南庄社区卫生服务站,北京市海淀区小南庄31号楼,海淀区,62578286,是,08162009,否,100089,
北京语言大学社区卫生服务中心,北京市海淀区学院路15号,海淀区,82303177,是,08111013,否,100083,
西苑社区卫生服务站,北京市海淀区骚子营二区67号,海淀区,62862425,是,08162037,否,100091,
海淀社区卫生服务中心,北京市海淀区海淀南路33号,海淀区,82871456,是,08152001,是,100800,
北京市海淀区北安河社区卫生服务中心,,海淀区,62454872,否,,否,100095,
上地社区卫生服务中心,北京市海淀区西北旺二街5号卫生大厦,海淀区,62984596,是,08120002,是,100094,
农林科学院社区卫生服务站,北京市海淀区西郊板井,海淀区,51503244,是,08162135,否,100093,
莲花小区社区卫生服务站,北京市海淀区莲花小区2号楼3门设备层耳房,海淀区,63955928,是,08162103,否,100038,
聂各庄社区卫生服务站,北京市海淀区聂各庄路26号,海淀区,62459610,是,08120006,是,100194,
西钓社区卫生服务站,海淀区西三环中路11号七号楼西侧,海淀区,68474661,是,08162114,否,100142,
阜南社区卫生服务站,海淀区阜成路南8号楼,海淀区,68589625,是,08162028,否,100037,
中国农业大学东区社区卫生服务中心,北京市海淀区清华东路17号中国农业大学东区院内,海淀区,62736616,是,08111007,否,100083,
太月园社区卫生服务站,北京市海淀区太月园小区10号楼地下室一层,海淀区,82050706,是,08162029,否,100082,
中铁建社区卫生服务站,北京市海淀区复兴路40号北京铁建医院,海淀区,51888417,是,08111025,否,100039,
上庄家园社区卫生服务站,北京市海淀区上庄真上庄家园小区,海淀区,82472023,是,08162066,是,100094,
怡美社区卫生服务站,北京市海淀区清河安宁庄西路15号,海淀区,51159375,是,08162064,否,100085,
吴家村社区卫生服务站,北京市海淀区吴家村10号院,海淀区,63421307,是,08162026,否,100073,
温泉镇社区卫生服务中心,北京市海淀区温泉镇黑龙潭,海淀区,62456525,是,08120010,是,100095,
北京林业大学社区卫生服务中心,海淀区清华东路35号院内,海淀区,62338236,是,08111005,否,100083,
明光村社区卫生服务站,京市海淀区明光村19号楼1号,海淀区,62251663,是,08162006,否,100082,
青云社区卫生服务站,北京市海淀区北三环西路40号,海淀区,62155811,是,08111023,否,100086,
育新花园小区社区卫生服务站,北京市海淀区西三旗桥东育新花园小区23号楼,海淀区,82951077,是,08110010,否,100096,
首都师范大学社区卫生服务中心,海淀区西三环北路105号,海淀区,010-68902622,是,08111017,否,100048,
前章村社区卫生服务站,北京市海淀区上庄镇前章村,海淀区,62470955,是,08162124,是,100094,
水科院社区卫生服务站,海淀区复兴路甲1号,海淀区,68781013,是,08131016,否,100038,
有色金属研究院社区卫生服务站,北京市海淀区新街口外大街3号,海淀区,82241786,是,08141010,否,100088,
北京大学社区卫生服务中心,北京海淀颐和园路5号,海淀区,62765531,是,08110015,否,100871,
进口社区卫生服务站,三里河5号院,海淀区,68494853,是,08162042,否,100044,
大华无线电仪器厂社区卫生服务站,北京市海淀区学院路14号,海淀区,62311308,是,08141006,否,100083,
中国人民大学社区卫生服务中心,北京市海淀区中关村大街59号（校园内）,海淀区,62513390,是,08111014,否,100872,
北京邮电大学社区卫生服务中心,北京市海淀区西土城路10号,海淀区,62283212,是,08111004,否,100876,
苏家坨镇社区卫生服务中心,北京市海淀区苏家坨镇西小营集镇北侧路东,海淀区,62482791,是,08120007,是,100194,
外文社区卫生服务站,北京市外文印刷厂宿舍,海淀区,88422775,是,08162039,否,100048,
功德寺社区卫生服务站,北京市海淀区海淀乡功德寺后营村六间房,海淀区,62876871,是,08162119,否,100093,
树村社区卫生服务站,北京市海淀区上地街道厢黄旗树村万树园小区,海淀区,82796107,是,08162049,否,100094,
中关村社区卫生服务中心,北京市中关村南路12号,海淀区,62553297,是,08110025,否,100190,
永金里社区卫生服务站,五棵松路81号4-1半地下,海淀区,68244949,是,08162074,否,100143,
玉泉社区卫生服务站,北京市海淀区四季青镇中坞村362号,海淀区,88853677,是,08162055,是,100195,
裕龙社区卫生服务站,北京市海淀区天秀西路裕龙新村内,海淀区,62826259,是,08162104,否,100091,
建清园社区卫生服务站,海淀区学院路建清园小区3号楼,海淀区,62931007,是,08162120,是,100085,
羊坊店社区卫生服务中心,北京市海地区北蜂窝中路乙8号,海淀区,63965642,是,08110020,是,100038,
翔牌墙体材料公司社区卫生服务站,海淀区西三旗东建材城西路12号,海淀区,82919952,是,08162136,否,100096,
九街坊社区卫生服务站,北京市海淀区金沟河路2号916楼,海淀区,68763762,是,08162020,否,100039,
花园村社区卫生服务站,海淀区车公庄西路花园村甲10号,海淀区,68718323,是,08162010,否,100048,
翠微南里社区卫生服务站,北京市海淀区万寿路街道翠微南里南平房1号,海淀区,68158187,是,08162051,否,100036,
东升镇社区卫生服务中心,北京市海淀区东升镇潘庄村西路莱圳家园西侧,海淀区,62951768,是,08120001,是,100192,
合建楼社区卫生服务站,海淀区车公庄西路45号,海淀区,68477643,是,08162035,否,100044,
建材城东里社区卫生服务站,北京市海淀区西三旗建材城东二里15号楼底商,海淀区,82915571,是,08162123,否,100096,
四季青镇社区卫生服务中心,北京市海淀区远大路32号,海淀区,88448161,是,08120008,是,100097,
金雅园社区卫生服务站,北京市海淀区曙光街道金雅园6号楼底商104室,海淀区,51507672,是,08162115,是,100097,
保福寺社区卫生服务站,北京市海淀区中关村东路甲334-1-101,海淀区,62520386,是,08162016,否,100190,
北影社区卫生服务站,北京市海淀区北三环中路77号,海淀区,82043248,是,08141011,否,100088,
玉渊潭社区卫生服务中心,北京市海淀区阜成路85号,海淀区,88115077,是,08110019,是,100142,
六建职工医院社区卫生服务站,北京市海淀区复兴路32号,海淀区,68187938,是,08111002,否,100039,
中央财经大学社区卫生服务站,北京市海淀区学院南路39号中央财经大学,海淀区,010-62288100,是,08131005,否,100081,
上庄镇社区卫生服务中心,北京市海淀区上庄镇上庄村北,海淀区,62471669,是,08120003,是,100094,
西北旺镇社区卫生服务中心,北京市海淀区北清路永丰嘉园五区7号楼、6号楼底商,海淀区,62443791,是,08120004,是,100094,
北京交通大学社区卫生服务中心,西外大街上园村3号,海淀区,51682525,是,08111001,否,100044,
马连洼社区卫生服务站,北京市海淀区马连洼街道兰园小区物业白楼,海淀区,62813519,是,08162021,否,100091,
永定路社区卫生服务中心,北京市海淀区永定路57号213楼,海淀区,68387073,是,08130002,否,100039,
学院路社区卫生服务中心,北京市海淀区北四环中路279号展春园30号楼,海淀区,82432727,是,08110139,否,100083,
田村社区卫生服务中心,田村北路海澜中苑小区2号公建楼,海淀区,88180330,是,08110111,是,100039,
田村社区卫生服务站,海淀区田村前街153号,海淀区,68161253,是,08162057,是,100049,
西冉社区卫生服务站,北京市海淀区四季青镇西冉村西渔场内,海淀区,88438532,是,08162060,是,100097,
世纪城社区卫生服务站,北京市海淀区曙光街道下沉广场,海淀区,88865462,是,08162117,是,100097,
橡胶研究院社区卫生服务站,北京市海淀区阜石路甲19号院内工会礼堂一层,海淀区,68159739,是,08162070,否,100143,
西木社区卫生服务站,西四环北路137号院,海淀区,88136631,是,08162100,否,100143,
百旺茉莉园社区卫生服务站,,海淀区,,否,,否,,
半壁店社区卫生服务站,,海淀区,,否,,否,,
北洼西里社区卫生服务站,,海淀区,,否,,否,,
财政局社区卫生服务站,,海淀区,,否,,否,,
常青园北里社区卫生服务站,,海淀区,,否,,否,,
厂洼社区卫生服务站,,海淀区,,否,,否,,
车道沟南里社区卫生服务站,,海淀区,,否,,否,,
车耳营社区卫生服务站,,海淀区,,否,,否,,
承泽园社区卫生服务站,,海淀区,,否,,否,,
翠微路社区卫生服务站,,海淀区,,否,,否,,
东马坊社区卫生服务站,,海淀区,,否,,否,,
东馨园社区卫生服务站,,海淀区,,否,,否,,
海军大院社区卫生服务站,,海淀区,,否,,否,,
航天工业机关北区社区卫生服务站,,海淀区,,否,,否,,
后章村社区卫生服务站,,海淀区,,否,,否,,
会城门社区卫生服务站,,海淀区,,否,,否,,
金尚嘉园社区卫生服务站,,海淀区,,否,,否,,
巨山社区卫生服务站,,海淀区,,否,,否,,
空军大院社区卫生服务站,,海淀区,,否,,否,,
亮甲店社区卫生服务站,,海淀区,,否,,否,,
美和园社区卫生服务站,,海淀区,,否,,否,,
南玉河社区卫生服务站,,海淀区,,否,,否,,
青云北区社区卫生服务站,,海淀区,,否,,否,,
三嘉信苑社区卫生服务站,,海淀区,,否,,否,,
上地社区卫生服务站,,海淀区,,否,,否,,
时雨园社区卫生服务站,,海淀区,,否,,否,,
双安社区卫生服务站,,海淀区,,否,,否,,
水科院北院社区卫生服务站,,海淀区,,否,,否,,
天秀花园社区卫生服务站,,海淀区,,否,,否,,
万柳社区卫生服务站,,海淀区,,否,,否,,
万寿园社区卫生服务站,,海淀区,,否,,否,,
魏公村社区卫生服务站,,海淀区,,否,,否,,
西埠头社区卫生服务站,,海淀区,,否,,否,,
西辛力屯社区卫生服务站,,海淀区,,否,,否,,
西闸社区卫生服务站,,海淀区,,否,,否,,
颐阳山水居社区卫生服务站,,海淀区,,否,,否,,
颐源居社区卫生服务站,,海淀区,,否,,否,,
周家巷社区卫生服务站,,海淀区,,否,,否,,
紫金长安社区卫生服务站,,海淀区,,否,,否,,
紫苑社区卫生服务站,,海淀区,,否,,否,,
北京航空航天大学社区卫生服务中心,北京市海淀区学院路37号北京航空航天大学医院,海淀区,82317296,是,08110147,否,100191,
中国农业大学西区社区卫生服务中心,北京市海淀区圆明园西路2号,海淀区,62732550,是,08111020,否,100193,
香山社区卫生服务中心,北京市海淀区香山路甲1号2区,海淀区,51795189,是,08110110,是,100093,
