机构名称,机构地址,区县,机构电话,基本医保点,医保编码,新农合定点,邮政编码,
韩村河镇尤家坟社区卫生服务站,北京市房山区韩村河镇尤家坟村,房山区,61311233,否,,是,102406,
韩村河镇西周各庄社区卫生服务站,韩村河镇西周各庄村,房山区,61316385,否,,是,102423,
韩村河镇下中院社区卫生服务站,北京市房山区韩村河镇下中院村,房山区,61325169,是,11120017,是,102423,
窦店镇金鑫园社区卫生服务站,北京市房山区窦店镇瓦窑头金鑫园小区,房山区,80335306,是,11162029,是,102433,
青龙湖镇西石府社区卫生服务站,北京市房山区青龙湖镇西石府,房山区,00000000,否,,是,102447,
青龙湖镇小苑上社区卫生服务站,北京市房山区青龙湖镇小苑上,房山区,00000000,否,,是,102447,
青龙湖镇上万社区卫生服务站,北京市房山区青龙湖镇上万村,房山区,010-80378108,否,,是,102471,
青龙湖镇焦各庄社区卫生服务站,北京市房山区青龙湖镇焦各庄村,房山区,010-60322754,否,,是,102447,
十渡镇十渡社区卫生服务站,北京市房山区十渡镇十渡村,房山区,61340817,否,,是,102411,
十渡镇六渡社区卫生服务站,北京市房山区十渡镇六渡村,房山区,61344210,否,,是,102411,
琉璃河镇庄头社区卫生服务站,房山区琉璃河镇庄头村,房山区,61392543,否,,是,102403,
琉璃河镇南白社区卫生服务站,房山区琉璃河镇南白村,房山区,80396869,否,,是,102403,
琉璃河镇北洛社区卫生服务站,北京市房山区琉璃河镇北洛村,房山区,60393372,否,,是,102403,
窦店镇苏村社区卫生服务站,北京市房山区窦店镇苏村,房山区,69399035,否,,是,102433,
窦店镇普安屯社区卫生服务站,北京市房山区窦店镇普安屯村,房山区,80310486,否,,是,102434,
良乡镇小营社区卫生服务站,房山区良乡镇小营村,房山区,60331999,否,,是,102446,
良乡镇黑古台社区卫生服务站,房山区良乡镇黑古台村,房山区,60331999,否,,是,102446,
石楼梨园店社区卫生服务站,石楼镇梨园店村,房山区,89301696,否,,是,102422,
韩村河镇上中院社区卫生服务站,北京市房山区韩村河镇上中院村,房山区,61325169,否,,是,102423,
琉璃河镇二街村社区卫生服务站,房山区琉璃河镇二街村,房山区,89385067,否,,是,102403,
房山区新镇原子能研究工作区社区卫生服务站,房山区新镇原子能院工作区,房山区,69357260,否,,否,102413,
大石窝镇南尚乐社区卫生服务站,北京市房山区大石窝镇南尚乐村,房山区,15699826580,否,,是,102048,
大石窝镇高庄社区卫生服务站,北京市房山区大石窝镇高庄村,房山区,61382328,否,,是,102407,
韩村河镇天开社区卫生服务站,北京市房山区韩村河镇天开村,房山区,61326760,否,,是,102423,
韩村河镇潘庄社区卫生服务站,北京市房山区韩村河镇潘家庄村,房山区,80389704,否,,是,102423,
韩村河镇西东社区卫生服务站,北京市房山区韩村河镇西东村,房山区,80386202,否,,是,102423,
青龙湖镇南观社区卫生服务站,北京市房山区青龙湖镇南观村,房山区,00000000,否,,是,102471,
青龙湖镇沙窝社区卫生服务站,北京市房山区青龙湖镇沙窝村,房山区,010-80370757,否,,是,102471,
青龙湖镇果各庄社区卫生服务站,北京市房山区青龙湖镇果各庄,房山区,00000000,否,,是,102447,
佛子庄社区卫生服务中心,北京市房山区佛子庄乡黑龙关村,房山区,60365950,是,11120026,是,102417,
燕山迎风社区卫生服务站,迎风5里14号楼北侧,房山区,69341738,是,11130005,是,102500,
河北镇南车营社区卫生服务站,河北镇南车营村,房山区,60313519,否,,是,102417,
长阳镇碧波园社区卫生服务站,房山区长阳镇碧波园小区1号楼103,房山区,80355126,否,,是,102445,
十渡镇社区卫生服务中心,北京市房山区十渡镇八渡村十渡镇社区卫生服务中心,房山区,61340834,是,11120006,是,102411,
阎村镇北坊社区卫生服务站,北京市房山区阎村镇北坊村,房山区,60388724,否,,是,102412,
十渡镇平峪社区卫生服务站,北京市房山区十渡镇平峪村,房山区,61346334,否,,是,102411,
河北镇磁家务社区卫生服务站,河北镇磁家务村,房山区,60313079,否,,是,102417,
大石窝镇下滩社区卫生服务站,北京市房山区大石窝镇下滩村,房山区,61322995,否,,是,102408,
石楼镇大次洛社区卫生服务站,石楼镇大次洛村,房山区,89302154,否,,是,102422,
长阳镇社区卫生服务中心,北京市房山区长阳镇政府西侧长阳镇卫生院,房山区,80351615,是,11120022,是,102445,
阎村镇开古庄社区卫生服务站,房山区阎村镇开古庄村,房山区,89313032,否,,是,102412,
张坊镇南白岱社区卫生服务站,北京市房山区张坊镇南白岱村,房山区,61330535,否,,是,102409,
张坊镇西白岱社区卫生服务站,北京市房山区张坊镇西白岱村,房山区,61339833,否,,是,102409,
佛子庄乡陈家台社区卫生服务站,北京市房山区佛子庄乡陈家台村,房山区,60360256,否,,是,102417,
河北镇檀木港社区卫生服务站,房山区河北镇檀木港村,房山区,60371501,否,,是,102417,
阎村镇大紫草坞社区卫生服务站,北京市房山区阎村镇大紫草坞村,房山区,89313040,否,,是,102412,
阎村镇吴庄社区卫生服务站,北京市房山区阎村镇吴庄村,房山区,89319179,否,,否,102412,
长阳镇黄管屯社区卫生服务站,房山区长阳镇黄管屯村,房山区,80356800,否,,是,102445,
长阳镇葫芦垡社区卫生服务站,房山区长阳镇葫芦垡村,房山区,60352093,否,,是,102445,
良乡镇后石羊社区卫生服务站,良乡镇后石羊村,房山区,60331999,否,,是,102446,
