机构名称,机构地址,区县,机构电话,基本医保点,医保编码,新农合定点,邮政编码,
车站北里社区卫生服务站,大兴区车站北里43号楼北侧,大兴区,69233342,是,24162003,是,102600,
黄村社区卫生服务中心,北京市大兴区黄村镇狼垡二村,大兴区,69244148,是,24120010,是,102613,
礼贤社区卫生服务中心,大兴区礼贤镇西,大兴区,89271505,是,24120006,是,102604,
后安定社区卫生服务站,北京市大兴区安定镇后安定村,大兴区,15001315920,否,,是,102607,
赵场社区卫生服务站,北京市大兴区北臧村镇赵场,大兴区,60271560,否,,是,102609,
岳街社区卫生服务站,北京市大兴区采育镇岳街村,大兴区,15901500835,否,,是,102606,
中大屯社区卫生服务站,大兴区青云店镇中大屯村,大兴区,80213662,否,,是,102605,
大东新村社区卫生服务站,青云店镇大东新村,大兴区,80285609,是,24110062,是,102605,
三间房社区卫生服务站,北京市大兴区黄村镇三间房,大兴区,61261376,否,,是,102600,
南街社区卫生服务站,北京市大兴区旧宫镇南街一村,大兴区,67954879,是,24162028,是,100076,
魏善庄社区卫生服务中心,北京市大兴区魏善庄镇魏善庄村北,大兴区,89201952,是,24120005,是,102611,
西宋各庄社区卫生服务站,北京市大兴区榆垡镇南各庄村,大兴区,89263512,否,,是,102602,
王各庄社区卫生服务站,北京市大兴区魏善庄镇王各庄村,大兴区,89243443,否,,是,102611,
东段社区卫生服务站,大兴区礼贤镇东段村,大兴区,89273387,否,,是,102604,
庞各庄社区卫生服务中心,北京市大兴区庞各庄镇繁荣村,大兴区,89287912,是,24120001,是,102601,
西庄社区卫生服务站,北京市大兴区采育镇西庄村,大兴区,15901501237,否,,是,102606,
半壁店社区卫生服务站,北京市大兴区采育镇半壁店村,大兴区,15901501570,否,,是,102606,
西沙窝社区卫生服务站,北京市大兴区魏善庄镇西沙窝村,大兴区,89235614,否,,是,102611,
西红门社区卫生服务中心,大兴区西红门镇欣荣北大街28号,大兴区,60255344,是,24120011,是,100162,
陈各庄社区卫生服务站,北京市大兴区魏善庄镇陈各庄村,大兴区,89266944,否,,是,100211,
同兴园社区卫生服务站,大兴区同兴园小区内,大兴区,60208466,是,24162009,是,100162,
狼各庄社区卫生服务站,北京市大兴区黄村镇狼各庄西村同顺街24号,大兴区,60279452,否,,是,102600,
海子角东里社区卫生服务站,北京市大兴区黄村镇绿色庄园小区24号楼一屋,大兴区,61242513,是,24162044,是,102600,
后辛庄社区卫生服务站,黄村镇后辛庄村,大兴区,61201200,是,24162066,是,102600,
天宝园社区卫生服务站,天宝园五里一区,大兴区,67809645,是,31162002,是,100176,
亦庄社区卫生服务中心,北京市大兴区广德北巷6号,大兴区,67870497,是,24120016,是,100176,
林校路社区卫生服务中心,黄村西大街26号,大兴区,60283295,否,,否,102600,
甸子社区卫生服务站,大兴区礼贤镇甸子村,大兴区,89276254,否,,是,102604,
刘各庄社区卫生服务站,大兴区礼贤镇刘各庄村,大兴区,80230223,否,,是,102604,
