机构名称,机构地址,区县,机构电话,基本医保点,医保编码,新农合定点,邮政编码,
芍药居南里社区卫生服务站,北京市朝阳区芍药居5号院9-1-1,朝阳区,84614608,是,05162062,否,100028,
核桃园北里社区卫生服务站,北京市朝阳区呼家楼街道核桃园北里小区1号平房,朝阳区,010-65067115,是,05162070,否,100020,
十八里店社区卫生服务站,北京市朝阳区十八里店乡十八里店村743号,朝阳区,67481531,否,,是,100023,
定福庄西街社区卫生服务站,朝阳区定福庄西街7号楼1单元1号,朝阳区,65772983,是,05162090,否,100024,
亚运村社区卫生服务中心,北京市朝阳区安慧里一区17号楼,朝阳区,010-64916748,是,05110012,否,100101,
朝阳区亚运村街道祁家豁子社区卫生服务站,祁家豁子17-18号楼前门面房,朝阳区,62202638,是,05162059,否,100029,
朝阳区亚运村街道北辰社区卫生服务站,安慧里一区3号楼,朝阳区,64974140,是,05162082,否,100101,
朝阳区将台地区驼房营社区卫生服务站,北京市朝阳区将台地区梵谷水郡社区14号楼,朝阳区,64317766,是,05162096,是,100016,
大屯社区卫生服务中心,北京市朝阳区安慧北里逸园甲10号,朝阳区,64969518,是,05151002,否,100101,
朝阳区安贞街道安华里社区卫生服务站,北京市朝阳区安华里1区7楼南侧平房,朝阳区,64265450,是,05162022,否,100011,
朝阳区安贞街道安华西里社区卫生服务站,北京市朝阳区安华西里1区19楼6-,朝阳区,64269891,是,05162023,否,100011,
朝阳区安贞街道安贞西里社区卫生服务站,北京市朝阳区安贞西里3区2楼12-102,朝阳区,64413853,是,05162057,否,100029,
朝阳区和平街街道樱花园社区卫生服务站,北京市朝阳区和平街樱花园甲12楼1层,朝阳区,64436923,是,05162161,否,100029,
小关社区卫生服务中心,朝阳区安外小关51号,朝阳区,52075435,是,05110011,否,100029,
小关街道惠新北里社区卫生服务站,朝阳区小关街道惠新北里8号107,朝阳区,64944118,是,05162041,否,100029,
朝阳区大屯街道慧忠北里卫生站,慧忠北里104楼,朝阳区,64851870,是,05162042,否,100101,
朝阳区大屯街道慧忠里社区卫生服务站,北京市朝阳区大屯街道慧忠里B区107楼,朝阳区,64914069,是,05162146,否,100101,
朝阳区大屯街道嘉铭园社区卫生服务站,北京市朝阳区北苑路86号嘉铭园B区7号楼底商,朝阳区,84857990,是,05162147,否,100101,
北京市朝阳区金盏地区雷庄社区卫生服务站,北京市朝阳区金盏乡雷庄村,朝阳区,84342366,是,05162235,是,100018,
朝阳区十八里店地区西直河社区卫生服务站,北京市朝阳区十八里店乡西直河村,朝阳区,01067366257,是,05162225,是,100023,
朝阳区孙河地区沙子营社区卫生服务站,朝阳区孙河地区沙子营村,朝阳区,84915090,是,05162218,是,100103,
朝阳区亚运村街道华严北里社区卫生服务站,华严北里69号楼,朝阳区,82845997,是,05162035,否,100029,
朝阳区来广营地区青年城社区卫生服务站,红军营东路8号院浩弘俱乐部会所一层,朝阳区,84365808,是,05162129,是,100012,
北京市朝阳区崔各庄地区奶东社区卫生服务站,崔各庄乡奶东村,朝阳区,65312581,是,05162238,是,100103,
朝阳区孙河地区苇沟社区卫生服务站,北京市朝阳区孙河乡前苇沟村,朝阳区,84318965,是,05162165,是,100103,
朝阳区孙河地区辛堡社区卫生服务站,朝阳区孙河地区上辛堡村,朝阳区,51274973,是,05162216,是,100103,
朝阳区建外街道灵通观社区卫生服务站,建外灵通观5号院附属房,朝阳区,65672377,是,05162007,否,100022,
朝阳区建外街道光华里东里社区卫生服务站,建外光华东里3楼南侧平房,朝阳区,65865506,是,05162054,否,100020,
朝阳区呼家楼街道金台北街社区卫生服务站,北京市朝阳区呼家楼街道金台北街3-1-101,朝阳区,85993995,是,05162026,否,100026,
朝阳区呼家楼街道呼家楼西里社区卫生服务站,朝阳区呼家楼北街13楼111-112、121-122,朝阳区,65938177,是,05162049,否,100026,
朝阳区呼家楼街道向军北里社区卫生服务站,呼家楼向军北里12号楼西侧平房,朝阳区,65008086,是,05162080,否,100020,
朝阳区呼家楼街道东大桥社区卫生服务站,北京市朝阳区东大桥路2号楼、4号楼东侧平房,朝阳区,65032918,是,05162172,否,100020,
朝阳区八里庄街道甘露园南里社区卫生服务站,北京市朝阳区八里庄街道甘露园南里18号楼后,朝阳区,010-85768206,是,05162051,否,100024,
东坝社区卫生服务中心,北京市朝阳区东坝乡东风大队二条,朝阳区,84314994,是,05110155,是,100018,
北京市朝阳区东风街道将台洼社区卫生服务站,北京市朝阳区将台洼村鹿村大队,朝阳区,84301005,是,05162189,否,100025,
朝阳区平房地区平房社区卫生服务站,朝阳区平房乡平房村,朝阳区,85573406,是,05162112,是,100123,
朝阳区三间房地区定北里社区卫生服务站,朝阳区定福庄北街金星小区8号楼东侧,朝阳区,65750550,是,05162120,是,100121,
北京市朝阳区常营地区连心园社区卫生服务站,北京市朝阳区常新路6号院15楼东配置房,朝阳区,58234680,是,05162109,是,100024,
黑庄户社区卫生服务中心,北京市朝阳区黑庄户乡黑庄户村,朝阳区,85386211,是,05120002,是,100121,
朝阳区黑庄户地区万子营社区卫生服务站,北京市朝阳区黑庄户乡万子营西村,朝阳区,85382460,是,05162128,是,100121,
朝阳区黑庄户地区郎各庄社区卫生服务站,北京市朝阳区黑庄户乡郎各庄村,朝阳区,85381635,是,05162127,是,100121,
朝阳区黑庄户地区怡景城社区卫生服务站,北京市朝阳区黑庄户地区怡景城花园,朝阳区,85385941,是,05162125,是,100121,
朝阳区高碑店地区兴隆家园社区卫生服务站,北京市朝阳区高碑店乡兴隆家园小区23号楼,朝阳区,85770120,是,05162087,是,100025,
朝阳区六里屯街道六里屯东里社区卫生服务站,北京市朝阳区朝阳公园南路8号楼棕榈泉生活广场南侧,朝阳区,65067864,是,05162091,否,100026,
朝外社区卫生服务中心,北京市朝阳区工体南路6号,朝阳区,65535620,是,05110139,否,100020,
朝阳区三间房地区艺水芳园社区卫生服务站,朝阳区北花园街8号院西北侧小二楼,朝阳区,65401385,是,05162121,是,100121,
劲松社区卫生服务中心,北京市朝阳区劲松五区,朝阳区,87715961,是,05110021,否,100021,
朝阳区黑庄户地区大鲁店社区卫生服务站,北京市朝阳区黑庄户乡大鲁店二队,朝阳区,85386884,是,05162123,是,100121,
朝阳区黑庄户地区双树社区卫生服务站,北京市朝阳区黑庄户乡双树南村,朝阳区,85375290,是,05162214,是,100121,
朝阳区黑庄户地区定辛庄社区卫生服务站,北京市朝阳区黑庄户乡定辛庄东大队,朝阳区,85373701,是,05162215,是,100121,
朝阳区酒仙桥街道南路社区卫生服务站,北京市朝阳区酒仙桥十一街坊21号楼后,朝阳区,64321278,是,05162168,否,100016,
东湖社区卫生服务中心,望京花园东区204号楼,朝阳区,84722939,是,05110143,否,100102,
首都国际机场社区卫生服务中心,北京首都机场宿舍区燕翔西里,朝阳区,64591120,是,05162068,是,100621,
朝阳区首都机场街道南平街社区卫生服务站,北京首都机场宿舍区燕翔西里,朝阳区,64597291,是,05162068,是,100621,
朝阳区左家庄街道新源里西社区卫生服务站,北京市朝阳区新源里西5号楼前平房,朝阳区,64613921,是,05162031,否,100028,
朝阳区三里屯街道幸福二村社区卫生服务站,北京市朝阳区三里屯街道幸福二村社区小花园内,朝阳区,64131050,是,05162075,否,100027,
朝阳区王四营地区观音堂社区卫生服务站,北京市朝阳区王四营乡观音堂村,朝阳区,87741698,是,05162118,是,100023,
朝阳区王四营地区南花园社区卫生服务站,北京市朝阳区王四营乡南花园村,朝阳区,67385949,是,05162187,是,100023,
十八里店社区卫生服务中心,北京市朝阳区十八里店乡周家庄村23号,朝阳区,01067482091,是,05110048,是,100122,
朝阳区十八里店地区横街子社区卫生服务站,北京市朝阳区十八里店乡横街子村,朝阳区,01087301683,是,05162223,是,100023,
朝阳区十八里店地区老君堂社区卫生服务站,北京市朝阳区十八里店乡老君堂村,朝阳区,01067370623,是,05162222,是,100023,
吕家营社区卫生服务站,北京市朝阳区十八里店乡吕家营村,朝阳区,01087161140,是,05162227,是,100122,
南磨房社区卫生服务中心,北京市朝阳区西大望路29号,朝阳区,010-67326640,是,05110022,是,100124,
北京市朝阳区潘家园街道松楡东里社区卫生服务站,朝阳区潘家园松榆东里31号楼旁,朝阳区,67352339,是,05162184,否,100021,
望京社区卫生服务中心,北京市朝阳区望花路西里14号,朝阳区,64707662,是,05161001,否,100102,
朝阳区麦子店街道农展南里社区卫生服务站,朝阳区麦子店街道农展南里社区居委会旁,朝阳区,010-65026170,是,05162085,否,100125,
朝阳区麦子店街道霞光里社区卫生服务站,朝阳区麦子店街道霞光里30号院内,朝阳区,010-64632529,是,05162003,否,100127,
朝阳区潘家园街道松榆西里社区卫生服务站,潘家园街道松榆西里38号楼后平房,朝阳区,67339461,是,05162084,否,100021,
北京市朝阳区金盏地区东村社区卫生服务站,北京市朝阳区金盏乡东村,朝阳区,84340580,是,05162221,是,100018,
北京市朝阳区金盏地区小店社区卫生服务站,北京市朝阳区金盏乡小店村,朝阳区,84349608,是,05162220,是,100018,
北京市朝阳区潘家园街道华威北里社区卫生服务站,潘家园街道华威北里甲44号楼一层,朝阳区,67793756,是,05162183,否,100021,
朝阳区潘家园街道磨房南里社区卫生服务站,北京市朝阳区磨房北里230号（虎城中学旁）,朝阳区,67358072,是,05162145,否,100021,
朝阳区来广营地区绿色家园社区卫生服务站,广华居16号楼1层,朝阳区,84955610,是,05162130,是,100102,
朝阳区来广营地区紫绥园社区卫生服务站,朝阳区来广营乡北苑家园,朝阳区,84960067,是,05162148,是,100012,
朝阳区来广营地区绣菊园社区卫生服务站,北京市朝阳区北苑家园绣菊园小区北综合楼,朝阳区,84961156,是,05162196,是,100012,
朝阳区崔各庄地区何各庄社区卫生服务站,北京市朝阳区崔各庄乡何各庄村,朝阳区,84561589,是,05162205,是,100103,
朝阳区崔各庄地区草场地社区卫生服务站,北京市朝阳区崔各庄乡草场地村,朝阳区,64316349,是,05162208,是,100103,
朝阳区王四营地区孛罗营社区卫生服务站,北京市朝阳区王四营乡孛罗营村,朝阳区,87390243,是,05162167,是,100023,
朝阳区建外街道建国里社区卫生服务站,建国门外建国里3号楼前,朝阳区,65686829,是,05162110,否,100020,
朝阳区崔各庄地区北皋社区卫生服务站,北京市朝阳区崔各庄乡北皋村,朝阳区,84701525,是,05162206,是,100103,
奥运村社区卫生服务中心,朝阳区媒体村天居园9号楼105,朝阳区,84828804,是,05110203,否,100107,
朝阳区东坝地区后街社区卫生服务站,北京市朝阳区东坝乡后街村,朝阳区,84328235,是,05162217,是,100018,
朝阳区太阳宫街道西坝河北里社区卫生服务站,北京市太阳宫地区夏家园4号楼104,朝阳区,84494423,是,05162024,是,100028,
朝阳区王四营地区道口社区卫生服务站,北京市朝阳区王四营乡伯阳景园小区,朝阳区,67207527,是,05162117,是,100023,
朝阳区王四营地区官庄社区卫生服务站,北京市朝阳区王四营乡官庄村,朝阳区,67385602,是,05162117,是,100023,
朝阳区东坝地区单店社区卫生服务站,北京市朝阳区东坝乡单店西村甲1号,朝阳区,65497782,是,05162153,是,100018,
朝阳区八里庄街道八里庄西里社区卫生服务站,朝阳区八里庄西里614楼旁小楼,朝阳区,65565538,是,05162122,否,100025,
朝阳区朝外街道吉祥里社区卫生服务站,朝阳区吉祥里西区南门,朝阳区,65526098,是,05162043,否,100020,
朝阳区东坝地区东风社区卫生服务站,北京市朝阳区东坝乡东风村,朝阳区,84317667,是,05162229,是,100018,
朝阳区崔各庄地区马泉营社区卫生服务站,北京市朝阳区崔各庄乡马全英村,朝阳区,84705606,是,05162209,是,100103,
北京市朝阳区崔各庄地区奶西社区卫生服务站,朝阳区崔各庄乡奶西村,朝阳区,84700502,是,05162239,是,100103,
朝阳区朝外街道芳草地社区卫生服务站,北京市朝阳区东大桥路23号院内,朝阳区,85633912,是,05162044,否,100020,
朝阳区朝外街道天福园社区卫生服务站,朝阳区天福园小区六号楼东侧平房,朝阳区,85622402,是,05162162,否,100020,
朝阳区东坝地区东坝家园社区卫生服务站,北京市朝阳区东坝乡东坝家园206楼2单元101.102室,朝阳区,65410135,是,05162197,是,100018,
武圣西里社区卫生服务站,北京市朝阳区武圣西里20号院,朝阳区,67340738,是,05162163,否,100021,
朝阳区东坝地区红松园社区卫生服务站,北京市朝阳区东坝乡甲16号南200米,朝阳区,65493920,是,05162154,是,100018,
朝阳区八里庄街道十里堡东里社区卫生服务站,十里堡西里东5号楼,朝阳区,65570072,是,05162052,否,100025,
